,price,bedrooms,bathrooms,has_garage,has_parking,sqft,city,state,latitude,longitude,price/sqft
0,1389000.0,5.0,3.0,0,0,2263.0,Costa Mesa,CA,33.676414,-117.903885,613.7870083959345
1,1029000.0,2.0,3.0,0,0,1200.0,Huntington Beach,CA,33.664356,-118.010994,857.5
2,1895000.0,4.0,4.0,0,0,2344.0,Costa Mesa,CA,33.64384,-117.89966,808.4470989761093
3,249900.0,2.0,2.0,0,0,1344.0,Costa Mesa,CA,33.64694,-117.93601,185.9375
4,1150000.0,4.0,2.0,0,0,1172.0,Huntington Beach,CA,33.670025,-117.96868,981.2286689419795
5,3995000.0,4.0,2.0,0,0,1649.0,Newport Beach,CA,33.61248,-117.9163,2422.680412371134
7,1650000.0,4.0,3.0,0,0,2415.0,Huntington Beach,CA,33.66624,-117.95087,683.2298136645962
9,3588000.0,3.0,3.0,0,0,2525.0,Corona Del Mar,CA,33.607197,-117.86232,1420.990099009901
10,665000.0,2.0,2.0,0,0,1038.0,Irvine,CA,33.66742,-117.85139,640.655105973025
11,6695000.0,3.0,5.0,0,0,3156.0,Newport Beach,CA,33.619167,-117.9372,2121.3561470215463
12,1230000.0,3.0,2.0,0,0,1399.0,Costa Mesa,CA,33.68552,-117.88932,879.1994281629735
13,1299000.0,4.0,2.0,0,0,1735.0,Costa Mesa,CA,33.67442,-117.89788,748.7031700288185
14,2099000.0,4.0,3.0,0,0,2507.0,Huntington Beach,CA,33.6458,-117.96341,837.2556840845632
15,31995000.0,7.0,9.0,0,0,9500.0,Newport Beach,CA,33.616615,-117.92435,3367.8947368421054
16,4675000.0,2.0,2.0,0,0,3050.0,Newport Beach,CA,33.61092,-117.91706,1532.7868852459017
17,3350000.0,3.0,3.0,0,0,2612.0,Newport Beach,CA,33.626396,-117.92397,1282.542113323124
18,799000.0,2.0,2.0,0,0,1264.0,Irvine,CA,33.674007,-117.85928,632.120253164557
19,3490000.0,3.0,4.0,0,0,2877.0,Huntington Beach,CA,33.659706,-118.00397,1213.0691692735488
21,1225000.0,2.0,3.0,0,0,2295.0,Huntington Beach,CA,33.68015,-118.02541,533.7690631808279
22,1200000.0,3.0,2.0,0,0,1137.0,Huntington Beach,CA,33.682594,-117.98325,1055.4089709762534
23,2050000.0,3.0,2.0,0,0,2030.0,Corona Del Mar,CA,33.60799,-117.86266,1009.8522167487685
